--------------------------------------------
	ID	|	A	|	Nz	|	Pz	|	Iz	|	PzIz	|
	92	|	ое_	|	1.000	|	0.006	|	7.295	|	0.046	|
	93	|	оил	|	1.000	|	0.006	|	7.295	|	0.046	|
	94	|	ой.	|	1.000	|	0.006	|	7.295	|	0.046	|
	95	|	ой_	|	1.000	|	0.006	|	7.295	|	0.046	|
	96	|	оле	|	2.000	|	0.013	|	6.295	|	0.080	|
	97	|	оль	|	1.000	|	0.006	|	7.295	|	0.046	|
	98	|	орс	|	1.000	|	0.006	|	7.295	|	0.046	|
	99	|	ост	|	1.000	|	0.006	|	7.295	|	0.046	|
	100	|	от_	|	1.000	|	0.006	|	7.295	|	0.046	|
	101	|	пол	|	1.000	|	0.006	|	7.295	|	0.046	|
	102	|	пос	|	1.000	|	0.006	|	7.295	|	0.046	|
	103	|	пре	|	1.000	|	0.006	|	7.295	|	0.046	|
	104	|	раз	|	1.000	|	0.006	|	7.295	|	0.046	|
	105	|	рас	|	1.000	|	0.006	|	7.295	|	0.046	|
	106	|	ред	|	2.000	|	0.013	|	6.295	|	0.080	|
	107	|	рек	|	1.000	|	0.006	|	7.295	|	0.046	|
	108	|	рид	|	1.000	|	0.006	|	7.295	|	0.046	|
	109	|	рои	|	1.000	|	0.006	|	7.295	|	0.046	|
	110	|	рск	|	1.000	|	0.006	|	7.295	|	0.046	|
	111	|	с_н	|	1.000	|	0.006	|	7.295	|	0.046	|
	112	|	ско	|	1.000	|	0.006	|	7.295	|	0.046	|
	113	|	сны	|	2.000	|	0.013	|	6.295	|	0.080	|
	114	|	стр	|	1.000	|	0.006	|	7.295	|	0.046	|
	115	|	сть	|	1.000	|	0.006	|	7.295	|	0.046	|
	116	|	ся_	|	1.000	|	0.006	|	7.295	|	0.046	|
	117	|	т_н	|	1.000	|	0.006	|	7.295	|	0.046	|
	118	|	т_я	|	1.000	|	0.006	|	7.295	|	0.046	|
	119	|	три	|	1.000	|	0.006	|	7.295	|	0.046	|
	120	|	тро	|	1.000	|	0.006	|	7.295	|	0.046	|
	121	|	ть_	|	2.000	|	0.013	|	6.295	|	0.080	|
	122	|	тьс	|	1.000	|	0.006	|	7.295	|	0.046	|
	123	|	тяз	|	1.000	|	0.006	|	7.295	|	0.046	|
	124	|	уля	|	1.000	|	0.006	|	7.295	|	0.046	|
	125	|	ут.	|	1.000	|	0.006	|	7.295	|	0.046	|
	126	|	х,_	|	1.000	|	0.006	|	7.295	|	0.046	|
	127	|	х_м	|	1.000	|	0.006	|	7.295	|	0.046	|
	128	|	х_ч	|	1.000	|	0.006	|	7.295	|	0.046	|
	129	|	цат	|	1.000	|	0.006	|	7.295	|	0.046	|
	130	|	чре	|	1.000	|	0.006	|	7.295	|	0.046	|
	131	|	шли	|	1.000	|	0.006	|	7.295	|	0.046	|
	132	|	шое	|	1.000	|	0.006	|	7.295	|	0.046	|
